Year	Date	Temperature(F)
2011	0809	84.2
2011	0810	91.9
2011	0811	96.1
2011	0812	96.1
2011	0813	93.9
2011	0814	93.0
2011	0815	95.0
2011	0816	93.9
2011	0817	91.9
2011	0818	89.1
2011	0819	89.6
2011	0820	91.4
2011	0821	88.0
2011	0822	93.0
2011	0823	95.0
2011	0824	93.0
2011	0825	91.9
2011	0826	95.0
2011	0827	98.1
2011	0828	98.1
2011	0829	96.8
2011	0830	90.0
2011	0831	93.0
2012	0801	89.1
2012	0802	93.2
2012	0803	91.9
2012	0804	89.1
2012	0805	87.8
2012	0806	91.0
2012	0807	86.0
2012	0808	89.1
2012	0809	87.8
2012	0810	93.9
2012	0811	91.0
2012	0812	91.9
2012	0813	91.0
2012	0814	89.1
2012	0815	91.0
2012	0816	89.1
2012	0817	84.9
2012	0818	88.0
2012	0819	88.0
2012	0820	89.1
2012	0821	79.0
2012	0822	81.0
2012	0823	81.0
2012	0824	88.0
2012	0825	88.0
2012	0826	88.0
2012	0827	80.1
2012	0828	90.0
2012	0829	89.1
2012	0830	91.0
2012	0831	90.0
2013	0801	88.0
2013	0802	91.9
2013	0803	91.0
2013	0804	91.0
2013	0805	93.9
2013	0806	91.9
2013	0807	91.0
2013	0808	91.0
2013	0809	89.1
2013	0810	91.9
2013	0811	93.9
2013	0812	96.1
2013	0813	93.9
2013	0814	93.0
2013	0815	91.9
2013	0816	84.9
2013	0817	87.1
2013	0818	90.0
2013	0819	91.0
2013	0820	91.0
2013	0821	89.1
2013	0822	89.1
2013	0823	86.0
2013	0824	89.1
2013	0825	84.2
2013	0826	89.1
2013	0827	88.0
2013	0828	90.0
2013	0829	91.9
2013	0830	93.0
2013	0831	90.0
2014	0801	90.0
2014	0802	93.0
2014	0803	91.0
2014	0804	89.1
2014	0805	91.9
2014	0806	91.9
2014	0807	93.9
2014	0808	91.0
2014	0809	89.1
2014	0810	89.1
2014	0811	84.9
2014	0812	82.9
2014	0813	89.1
2014	0814	87.1
2014	0815	84.0
2014	0816	90.0
2014	0817	91.9
2014	0818	89.1
2014	0819	91.0
2014	0820	91.9
2014	0821	95.0
2014	0822	97.0
2014	0823	97.0
2014	0824	96.1
2014	0825	84.9
2014	0826	90.0
2014	0827	89.1
2014	0828	91.0
2014	0829	91.0
2014	0830	93.0
2014	0831	91.0
2015	0801	80.1
2015	0802	84.0
2015	0803	86.0
2015	0804	86.0
2015	0805	89.1
2015	0806	91.0
2015	0807	88.0
2015	0808	91.9
2015	0809	91.9
2015	0810	91.9
2015	0811	93.0
2015	0812	90.0
2015	0813	88.0
2015	0814	89.1
2015	0815	90.0
2015	0816	89.1
2015	0817	87.1
2015	0818	91.0
2015	0819	91.9
2015	0820	91.0
2015	0821	93.0
2015	0822	93.0
2015	0823	93.0
2015	0824	86.0
2015	0825	93.0
2015	0826	91.9
2015	0827	86.0
2015	0828	90.0
2015	0829	86.0
2015	0830	88.0
2015	0831	86.0
2016	0801	95.0
2016	0802	95.0
2016	0803	93.0
2016	0804	88.0
2016	0805	91.0
2016	0806	82.0
2016	0807	82.9
2016	0808	84.0
2016	0809	84.9
2016	0810	91.9
2016	0811	91.9
2016	0812	93.9
2016	0813	93.9
2016	0814	91.0
2016	0815	95.0
2016	0816	93.0
2016	0817	93.9
2016	0818	95.0
2016	0819	93.0
2016	0820	93.9
2016	0821	93.0
2016	0822	96.1
2016	0823	93.9
2016	0824	91.9
2016	0825	93.0
2016	0826	91.0
2016	0827	93.0
2016	0828	93.0
2016	0829	93.0
2016	0830	86.0
2016	0831	82.4
